scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
2,empty_8_0,high,Get to the goal.,True,3,3
2,empty_7_1,high,Get to the goal.,True,10,10
2,empty_7_2,high,Get to the goal.,False,inf,11
2,empty_9_3,high,Get to the goal.,False,inf,10
2,empty_8_4,high,Get to the goal.,False,inf,8
2,empty_11_5,high,Get to the goal.,False,inf,8
2,empty_8_6,high,Get to the goal.,False,inf,5
2,empty_10_7,high,Get to the goal.,False,inf,9
2,empty_8_8,high,Get to the goal.,False,inf,5
2,empty_11_10,high,Get to the goal.,False,inf,10
2,empty_7_11,high,Get to the goal.,False,inf,7
2,empty_10_12,high,Get to the goal.,True,8,8
2,empty_7_14,high,Get to the goal.,False,inf,7
2,empty_8_15,high,Get to the goal.,False,inf,6
2,empty_9_16,high,Get to the goal.,False,inf,10
2,empty_7_17,high,Get to the goal.,False,inf,8
2,empty_7_20,high,Get to the goal.,False,inf,8
2,empty_8_21,high,Get to the goal.,False,inf,16
2,empty_10_22,high,Get to the goal.,False,inf,6
2,empty_7_23,high,Get to the goal.,False,inf,8
2,empty_11_24,high,Get to the goal.,False,inf,12
2,empty_10_25,high,Get to the goal.,False,inf,8
2,empty_10_26,high,Get to the goal.,False,inf,5
2,empty_9_27,high,Get to the goal.,False,inf,10
2,empty_11_28,high,Get to the goal.,False,inf,10
2,empty_11_29,high,Get to the goal.,False,inf,5
2,empty_11_30,high,Get to the goal.,False,inf,6
2,empty_8_31,high,Get to the goal.,False,inf,7
2,empty_8_33,high,Get to the goal.,False,inf,9
2,empty_9_36,high,Get to the goal.,False,inf,12
2,empty_7_37,high,Get to the goal.,False,inf,9
2,empty_8_39,high,Get to the goal.,False,inf,7
2,empty_10_40,high,Get to the goal.,False,inf,7
2,empty_11_42,high,Get to the goal.,False,inf,10
2,empty_8_44,high,Get to the goal.,False,inf,10
2,empty_7_45,high,Get to the goal.,False,inf,10
2,empty_9_46,high,Get to the goal.,False,inf,6
2,empty_7_47,high,Get to the goal.,False,inf,10
2,empty_8_48,high,Get to the goal.,False,inf,6
2,empty_9_49,high,Get to the goal.,False,inf,8
